box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
1.1887093916304803e-08,2.1824528937382905e-09,-1.4027560894391656e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.1887093916304803e-08,2.1824528937382905e-09,-1.4027560894391656e-08,1.3999999999999998e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.2154894654982096e-08,-6.977085776023839e-10,-1.2759885923043202e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.2154894654982096e-08,-6.977085776023839e-10,-1.2759885923043202e-08,1.5e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.242269539365939e-08,-3.577870048943058e-09,-1.1492210951694747e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.242269539365939e-08,-3.577870048943058e-09,-1.1492210951694747e-08,1.6e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.2690496132336683e-08,-6.4580315202837325e-09,-1.0224535980346293e-08,3.158171491482799e-09,4,3.308230125637393e-21,1.2690496132336683e-08,-6.4580315202837325e-09,-1.0224535980346293e-08,1.6999999999999998e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.2958296871013976e-08,-9.338192991624407e-09,-8.956861008997838e-09,3.158171491482799e-09,4,3.308230125637393e-21,1.2958296871013976e-08,-9.338192991624407e-09,-8.956861008997838e-09,1.8e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.322609760969127e-08,-1.2218354462965082e-08,-7.689186037649384e-09,3.158171491482799e-09,4,3.308230125637393e-21,1.322609760969127e-08,-1.2218354462965082e-08,-7.689186037649384e-09,1.9e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.3493898348368563e-08,-1.5098515934305755e-08,-6.421511066300929e-09,3.158171491482799e-09,4,3.308230125637393e-21,1.3493898348368563e-08,-1.5098515934305755e-08,-6.421511066300929e-09,1.9999999999999998e-10,26.780073867729328,-288.01614713406747,126.76749713484546
1.3761699087045856e-08,-1.797867740564643e-08,-5.1538360949524745e-09,3.158171491482799e-09,5,3.308230125637393e-21,1.3761699087045856e-08,-1.797867740564643e-08,-5.1538360949524745e-09,2.1e-10,3.4149181330472813,103.81056377858307,51.92933072990534
1.3795848268376329e-08,-1.6940571767860597e-08,-4.634542787653421e-09,1.1612471833308604e-09,6,4.472739878003405e-22,1.3795848268376329e-08,-1.6940571767860597e-08,-4.634542787653421e-09,2.2e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
1.2166793126357828e-08,-1.5247241787316643e-08,-7.002433420392949e-09,3.3358796632015236e-09,6,3.691008504249732e-21,1.2166793126357828e-08,-1.5247241787316643e-08,-7.002433420392949e-09,2.2999999999999998e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
1.0537737984339328e-08,-1.3553911806772689e-08,-9.370324053132477e-09,3.3358796632015236e-09,6,3.691008504249732e-21,1.0537737984339328e-08,-1.3553911806772689e-08,-9.370324053132477e-09,2.4e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
8.908682842320827e-09,-1.1860581826228734e-08,-1.1738214685872006e-08,3.3358796632015236e-09,6,3.691008504249732e-21,8.908682842320827e-09,-1.1860581826228734e-08,-1.1738214685872006e-08,2.4999999999999996e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
7.279627700302326e-09,-1.016725184568478e-08,-1.4106105318611534e-08,3.3358796632015236e-09,6,3.691008504249732e-21,7.279627700302326e-09,-1.016725184568478e-08,-1.4106105318611534e-08,2.6e-10,-162.90551420185005,169.33299805439552,-236.78906327395282
