pos_x,pos_y,pos_z,box_pos_x,box_pos_y,box_pos_z,vel_x,vel_y,vel_z,t,change_pos,energy,collisions
0.0,0.0,0.0,0.0,0.0,0.0,40.221925378689335,-114.49243030837091,-436.1717129074945,0.0,0.0,0.0,0
4.0221925378689333e-10,-1.144924303083709e-09,-4.361717129074945e-09,4.0221925378689333e-10,-1.144924303083709e-09,-4.361717129074945e-09,40.221925378689335,-114.49243030837091,-436.1717129074945,1e-11,4.527384267098871e-09,6.798592471332386e-21,0
8.044385075737867e-10,-2.289848606167418e-09,-8.72343425814989e-09,8.044385075737867e-10,-2.289848606167418e-09,-8.72343425814989e-09,40.221925378689335,-114.49243030837091,-436.1717129074945,2e-11,4.527384267098871e-09,6.798592471332386e-21,0
1.20665776136068e-09,-3.434772909251127e-09,-1.3085151387224834e-08,1.20665776136068e-09,-3.434772909251127e-09,-1.3085151387224834e-08,40.221925378689335,-114.49243030837091,-436.1717129074945,3e-11,4.527384267098871e-09,6.798592471332386e-21,0
1.6088770151475733e-09,-4.579697212334836e-09,-1.744686851629978e-08,1.6088770151475733e-09,-4.579697212334836e-09,-1.744686851629978e-08,40.221925378689335,-114.49243030837091,-436.1717129074945,4e-11,4.527384267098871e-09,6.798592471332386e-21,0
2.011096268934467e-09,-5.724621515418545e-09,-2.1808585645374725e-08,2.011096268934467e-09,-5.724621515418545e-09,-2.1808585645374725e-08,40.221925378689335,-114.49243030837091,-436.1717129074945,4.9999999999999995e-11,4.527384267098871e-09,6.798592471332386e-21,0
2.41331552272136e-09,-6.869545818502254e-09,-2.617030277444967e-08,2.41331552272136e-09,-6.869545818502254e-09,-2.617030277444967e-08,40.221925378689335,-114.49243030837091,-436.1717129074945,6e-11,4.527384267098871e-09,6.798592471332386e-21,0
2.8155347765082534e-09,-8.014470121585964e-09,-3.053201990352461e-08,2.8155347765082534e-09,-8.014470121585964e-09,-3.053201990352461e-08,40.221925378689335,-114.49243030837091,-436.1717129074945,6.999999999999999e-11,4.527384267098871e-09,6.798592471332386e-21,0
3.2177540302951467e-09,-9.159394424669672e-09,-3.489373703259956e-08,3.2177540302951467e-09,-9.159394424669672e-09,-3.489373703259956e-08,9.823024615363654,95.39412312736428,79.74259386187988,8e-11,4.527384267098871e-09,6.798592471332386e-21,1
3.3159842764487833e-09,-8.20545319339603e-09,-3.409631109398076e-08,3.3159842764487833e-09,-8.20545319339603e-09,-3.409631109398076e-08,9.823024615363654,95.39412312736428,79.74259386187988,9e-11,1.2472133664956247e-09,5.159478505577267e-22,1
3.41421452260242e-09,-7.2515119621223874e-09,-3.329888515536196e-08,3.41421452260242e-09,-7.2515119621223874e-09,-3.329888515536196e-08,9.823024615363654,95.39412312736428,79.74259386187988,9.999999999999999e-11,1.2472133664956247e-09,5.159478505577267e-22,1
3.5124447687560567e-09,-6.297570730848745e-09,-3.250145921674316e-08,3.5124447687560567e-09,-6.297570730848745e-09,-3.250145921674316e-08,9.823024615363654,95.39412312736428,79.74259386187988,1.1e-10,1.2472133664956247e-09,5.159478505577267e-22,1
3.6106750149096934e-09,-5.343629499575102e-09,-3.1704033278124365e-08,3.6106750149096934e-09,-5.343629499575102e-09,-3.1704033278124365e-08,9.823024615363654,95.39412312736428,79.74259386187988,1.2e-10,1.2472133664956247e-09,5.159478505577267e-22,1
3.70890526106333e-09,-4.389688268301459e-09,-3.0906607339505566e-08,3.70890526106333e-09,-4.389688268301459e-09,-3.0906607339505566e-08,9.823024615363654,95.39412312736428,79.74259386187988,1.3e-10,1.2472133664956247e-09,5.159478505577267e-22,1
3.807135507216966e-09,-3.4357470370278167e-09,-3.010918140088677e-08,3.807135507216966e-09,-3.4357470370278167e-09,-3.010918140088677e-08,9.823024615363654,95.39412312736428,79.74259386187988,1.3999999999999998e-10,1.2472133664956247e-09,5.159478505577267e-22,1
