box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.466737036556,104.07803207736158,23.00810981837587
4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,4.395855862936338e-09,0,6.40930858662031e-21,4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,1e-11,426.466737036556,104.07803207736158,23.00810981837587
8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,4.395855862936338e-09,0,6.40930858662031e-21,8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,2e-11,426.466737036556,104.07803207736158,23.00810981837587
1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,3e-11,426.466737036556,104.07803207736158,23.00810981837587
1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4e-11,426.466737036556,104.07803207736158,23.00810981837587
2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.395855862936338e-09,1,6.40930858662031e-21,2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.9999999999999995e-11,-227.2542299020897,-252.06317289536753,77.33285082170434
1.9050794552806905e-08,2.6832698749144033e-09,1.923733999135837e-09,3.4808145304609917e-09,1,4.0187043854979304e-21,1.9050794552806905e-08,2.6832698749144033e-09,1.923733999135837e-09,6e-11,-227.2542299020897,-252.06317289536753,77.33285082170434
1.6778252253786007e-08,1.6263814596072817e-10,2.69706250735288e-09,3.4808145304609917e-09,1,4.0187043854979304e-21,1.6778252253786007e-08,1.6263814596072817e-10,2.69706250735288e-09,6.999999999999999e-11,-227.2542299020897,-252.06317289536753,77.33285082170434
1.450570995476511e-08,-2.357993582992947e-09,3.4703910155699234e-09,3.4808145304609917e-09,2,4.0187043854979304e-21,1.450570995476511e-08,-2.357993582992947e-09,3.4703910155699234e-09,8e-11,-45.0599045374477,329.40298845061153,5.453567773558144
1.4055110909390632e-08,9.360363015131682e-10,3.524926693305505e-09,3.3251536084604932e-09,2,3.667310820120235e-21,1.4055110909390632e-08,9.360363015131682e-10,3.524926693305505e-09,9e-11,-45.0599045374477,329.40298845061153,5.453567773558144
1.3604511864016154e-08,4.230066186019283e-09,3.579462371041086e-09,3.3251536084604932e-09,3,3.667310820120235e-21,1.3604511864016154e-08,4.230066186019283e-09,3.579462371041086e-09,9.999999999999999e-11,-207.20133313417682,27.315443432970593,56.23114433031916
1.1532498532674387e-08,4.503220620348989e-09,4.141773814344278e-09,2.1642658684925266e-09,3,1.5536225469104397e-21,1.1532498532674387e-08,4.503220620348989e-09,4.141773814344278e-09,1.1e-10,-207.20133313417682,27.315443432970593,56.23114433031916
9.46048520133262e-09,4.7763750546786945e-09,4.704085257647469e-09,2.1642658684925266e-09,3,1.5536225469104397e-21,9.46048520133262e-09,4.7763750546786945e-09,4.704085257647469e-09,1.2e-10,-207.20133313417682,27.315443432970593,56.23114433031916
7.388471869990852e-09,5.0495294890084e-09,5.266396700950661e-09,2.1642658684925266e-09,3,1.5536225469104397e-21,7.388471869990852e-09,5.0495294890084e-09,5.266396700950661e-09,1.3e-10,-207.20133313417682,27.315443432970593,56.23114433031916
