box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.466737036556,104.07803207736158,23.00810981837587
4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,4.395855862936338e-09,0,6.40930858662031e-21,4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,1e-11,426.466737036556,104.07803207736158,23.00810981837587
8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,4.395855862936338e-09,0,6.40930858662031e-21,8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,2e-11,426.466737036556,104.07803207736158,23.00810981837587
1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,3e-11,426.466737036556,104.07803207736158,23.00810981837587
1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4e-11,426.466737036556,104.07803207736158,23.00810981837587
2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.395855862936338e-09,1,6.40930858662031e-21,2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.9999999999999995e-11,-39.337641351645516,-54.75516354033996,89.617739407371
2.0929960438311347e-08,4.656349968464679e-09,2.0465828849925034e-09,1.1214685540810997e-09,1,4.171560008500903e-22,2.0929960438311347e-08,4.656349968464679e-09,2.0465828849925034e-09,6e-11,-39.337641351645516,-54.75516354033996,89.617739407371
2.053658402479489e-08,4.10879833306128e-09,2.9427602790662135e-09,1.1214685540810997e-09,1,4.171560008500903e-22,2.053658402479489e-08,4.10879833306128e-09,2.9427602790662135e-09,6.999999999999999e-11,-39.337641351645516,-54.75516354033996,89.617739407371
2.0143207611278436e-08,3.5612466976578803e-09,3.838937673139923e-09,1.1214685540810997e-09,1,4.171560008500903e-22,2.0143207611278436e-08,3.5612466976578803e-09,3.838937673139923e-09,8e-11,-39.337641351645516,-54.75516354033996,89.617739407371
1.974983119776198e-08,3.0136950622544807e-09,4.735115067213633e-09,1.1214685540810997e-09,1,4.171560008500903e-22,1.974983119776198e-08,3.0136950622544807e-09,4.735115067213633e-09,9e-11,-39.337641351645516,-54.75516354033996,89.617739407371
1.9356454784245525e-08,2.466143426851081e-09,5.6312924612873425e-09,1.1214685540810997e-09,1,4.171560008500903e-22,1.9356454784245525e-08,2.466143426851081e-09,5.6312924612873425e-09,9.999999999999999e-11,-39.337641351645516,-54.75516354033996,89.617739407371
1.896307837072907e-08,1.9185917914476815e-09,6.527469855361052e-09,1.1214685540810997e-09,1,4.171560008500903e-22,1.896307837072907e-08,1.9185917914476815e-09,6.527469855361052e-09,1.1e-10,-39.337641351645516,-54.75516354033996,89.617739407371
1.8569701957212615e-08,1.3710401560442818e-09,7.423647249434762e-09,1.1214685540810997e-09,1,4.171560008500903e-22,1.8569701957212615e-08,1.3710401560442818e-09,7.423647249434762e-09,1.2e-10,-39.337641351645516,-54.75516354033996,89.617739407371
1.817632554369616e-08,8.234885206408823e-10,8.319824643508472e-09,1.1214685540810997e-09,2,4.171560008500903e-22,1.817632554369616e-08,8.234885206408823e-10,8.319824643508472e-09,1.3e-10,-56.540663363193055,282.7109087175336,109.670617102046
