box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.466737036556,104.07803207736158,23.00810981837587
4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,4.395855862936338e-09,0,6.40930858662031e-21,4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,1e-11,426.466737036556,104.07803207736158,23.00810981837587
8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,4.395855862936338e-09,0,6.40930858662031e-21,8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,2e-11,426.466737036556,104.07803207736158,23.00810981837587
1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,3e-11,426.466737036556,104.07803207736158,23.00810981837587
1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4e-11,426.466737036556,104.07803207736158,23.00810981837587
2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.395855862936338e-09,1,6.40930858662031e-21,2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.9999999999999995e-11,26.176450563343966,393.7327910062018,-18.187391200134613
2.158510135746124e-08,9.141229513930096e-09,9.685315789174474e-10,3.950208835951529e-09,1,5.175644122493395e-21,2.158510135746124e-08,9.141229513930096e-09,9.685315789174474e-10,6e-11,26.176450563343966,393.7327910062018,-18.187391200134613
2.184686586309468e-08,1.3078557423992114e-08,7.866576669161013e-10,3.950208835951529e-09,1,5.175644122493395e-21,2.184686586309468e-08,1.3078557423992114e-08,7.866576669161013e-10,6.999999999999999e-11,26.176450563343966,393.7327910062018,-18.187391200134613
2.210863036872812e-08,1.7015885334054132e-08,6.047837549147552e-10,3.950208835951529e-09,2,5.175644122493395e-21,2.210863036872812e-08,1.7015885334054132e-08,6.047837549147552e-10,8e-11,-526.5659942742177,92.64231245475533,94.48297520013803
1.6842970425985943e-08,1.7942308458601685e-08,1.5496135069161355e-09,5.429377284602995e-09,2,9.777421494372255e-21,1.6842970425985943e-08,1.7942308458601685e-08,1.5496135069161355e-09,9e-11,-526.5659942742177,92.64231245475533,94.48297520013803
1.1577310483243766e-08,1.8868731583149238e-08,2.494443258917516e-09,5.429377284602995e-09,2,9.777421494372255e-21,1.1577310483243766e-08,1.8868731583149238e-08,2.494443258917516e-09,9.999999999999999e-11,-526.5659942742177,92.64231245475533,94.48297520013803
6.311650540501589e-09,1.979515470769679e-08,3.439273010918896e-09,5.429377284602995e-09,2,9.777421494372255e-21,6.311650540501589e-09,1.979515470769679e-08,3.439273010918896e-09,1.1e-10,-526.5659942742177,92.64231245475533,94.48297520013803
1.0459905977594128e-09,2.0721577832244344e-08,4.384102762920277e-09,5.429377284602995e-09,2,9.777421494372255e-21,1.0459905977594128e-09,2.0721577832244344e-08,4.384102762920277e-09,1.2e-10,-526.5659942742177,92.64231245475533,94.48297520013803
-4.219669344982764e-09,2.1648000956791896e-08,5.3289325149216576e-09,5.429377284602995e-09,2,9.777421494372255e-21,-4.219669344982764e-09,2.1648000956791896e-08,5.3289325149216576e-09,1.3e-10,-526.5659942742177,92.64231245475533,94.48297520013803
-9.48532928772494e-09,2.257442408133945e-08,6.273762266923038e-09,5.429377284602995e-09,3,9.777421494372255e-21,-9.48532928772494e-09,2.257442408133945e-08,6.273762266923038e-09,1.3999999999999998e-10,186.63740102441272,172.3836366743646,-339.20467983785466
