box_pos_x,box_pos_y,box_pos_z,change_pos,collisions,energy,pos_x,pos_y,pos_z,t,vel_x,vel_y,vel_z
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.466737036556,104.07803207736158,23.00810981837587
4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,4.395855862936338e-09,0,6.40930858662031e-21,4.26466737036556e-09,1.0407803207736157e-09,2.3008109818375869e-10,1e-11,426.466737036556,104.07803207736158,23.00810981837587
8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,4.395855862936338e-09,0,6.40930858662031e-21,8.52933474073112e-09,2.0815606415472314e-09,4.6016219636751737e-10,2e-11,426.466737036556,104.07803207736158,23.00810981837587
1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.279400211109668e-08,3.122340962320847e-09,6.90243294551276e-10,3e-11,426.466737036556,104.07803207736158,23.00810981837587
1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4.395855862936338e-09,0,6.40930858662031e-21,1.705866948146224e-08,4.163121283094463e-09,9.203243927350347e-10,4e-11,426.466737036556,104.07803207736158,23.00810981837587
2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.395855862936338e-09,1,6.40930858662031e-21,2.1323336851827802e-08,5.203901603868078e-09,1.1504054909187935e-09,4.9999999999999995e-11,-126.54577263103118,-121.34922279055323,-228.0270276744638
2.005787912551749e-08,3.990409375962546e-09,-1.1298647858258443e-09,2.8763830028823812e-09,1,2.7442123966581246e-21,2.005787912551749e-08,3.990409375962546e-09,-1.1298647858258443e-09,6e-11,-126.54577263103118,-121.34922279055323,-228.0270276744638
1.8792421399207176e-08,2.776917148057014e-09,-3.4101350625704823e-09,2.8763830028823812e-09,1,2.7442123966581246e-21,1.8792421399207176e-08,2.776917148057014e-09,-3.4101350625704823e-09,6.999999999999999e-11,-126.54577263103118,-121.34922279055323,-228.0270276744638
1.7526963672896863e-08,1.5634249201514815e-09,-5.6904053393151204e-09,2.8763830028823812e-09,1,2.7442123966581246e-21,1.7526963672896863e-08,1.5634249201514815e-09,-5.6904053393151204e-09,8e-11,-126.54577263103118,-121.34922279055323,-228.0270276744638
1.626150594658655e-08,3.4993269224594926e-10,-7.970675616059758e-09,2.8763830028823812e-09,2,2.7442123966581246e-21,1.626150594658655e-08,3.4993269224594926e-10,-7.970675616059758e-09,9e-11,109.25216510619067,133.99939281407953,260.0022413642911
1.7354027597648458e-08,1.6899266203867444e-09,-5.370653202416847e-09,3.12238752190351e-09,2,3.233686397193863e-21,1.7354027597648458e-08,1.6899266203867444e-09,-5.370653202416847e-09,9.999999999999999e-11,109.25216510619067,133.99939281407953,260.0022413642911
1.8446549248710365e-08,3.0299205485275395e-09,-2.7706307887739367e-09,3.12238752190351e-09,2,3.233686397193863e-21,1.8446549248710365e-08,3.0299205485275395e-09,-2.7706307887739367e-09,1.1e-10,109.25216510619067,133.99939281407953,260.0022413642911
1.9539070899772272e-08,4.369914476668335e-09,-1.7060837513102623e-10,3.12238752190351e-09,2,3.233686397193863e-21,1.9539070899772272e-08,4.369914476668335e-09,-1.7060837513102623e-10,1.2e-10,109.25216510619067,133.99939281407953,260.0022413642911
2.063159255083418e-08,5.70990840480913e-09,2.4294140385118843e-09,3.12238752190351e-09,2,3.233686397193863e-21,2.063159255083418e-08,5.70990840480913e-09,2.4294140385118843e-09,1.3e-10,109.25216510619067,133.99939281407953,260.0022413642911
